Source,Target,Type,Id,Label,timeset,Weight
technology,autonomous,Undirected,407,1,,1
technology,counterterrorism,Undirected,408,1,,1
technology,isotope,Undirected,409,1,,1
left,terrorist,Undirected,410,1,,1
left,guerilla,Undirected,411,1,,1
article,terrorist,Undirected,412,1,,1
article,terrorists,Undirected,413,1,,1
article,liberation,Undirected,414,1,,1
article,singularity,Undirected,415,6,,6
article,counterterrorism,Undirected,416,1,,1
911,terrorist,Undirected,417,1,,1
articles,singularity,Undirected,418,1,,1
computer,singularity,Undirected,419,2,,2
computer,autonomous,Undirected,420,2,,2
sf,singularity,Undirected,421,2,,2
:read,singularity,Undirected,422,1,,1
artificial,singularity,Undirected,423,1,,1
externado,liberation,Undirected,424,1,,1
dip,liberation,Undirected,425,1,,1
info,terrorist,Undirected,426,1,,1
info,terrorists,Undirected,427,1,,1
info,singularity,Undirected,428,1,,1
artscience,singularity,Undirected,429,1,,1
computing,singularity,Undirected,430,1,,1
extraordinary_people,singularity,Undirected,431,1,,1
google,singularity,Undirected,432,1,,1
business,singularity,Undirected,433,1,,1
money,singularity,Undirected,434,1,,1
arvuti,singularity,Undirected,435,1,,1
as,autonomous,Undirected,436,1,,1
terror,terrorist,Undirected,437,1,,1
terror,terrorists,Undirected,438,1,,1
terrorism,terrorist,Undirected,439,2,,2
terrorism,terrorists,Undirected,440,1,,1
terrorist,terrorists,Undirected,441,2,,2
terrorist,liberation,Undirected,442,1,,1
terrorist,facts,Undirected,443,1,,1
terrorist,cad,Undirected,444,1,,1
terrorist,wiki,Undirected,445,2,,2
terrorist,radical_left,Undirected,446,1,,1
terrorist,singularity,Undirected,447,1,,1
terrorist,wikipedia,Undirected,448,5,,5
terrorist,list,Undirected,449,1,,1
terrorist,wikipediapage,Undirected,450,1,,1
terrorist,wikipeople,Undirected,451,1,,1
terrorist,sla,Undirected,452,1,,1
terrorist,interesting,Undirected,453,1,,1
terrorist,international,Undirected,454,1,,1
terrorist,guerilla,Undirected,455,2,,2
terrorist,guerrilla,Undirected,456,1,,1
terrorist,autonomous,Undirected,457,1,,1
terrorist,with,Undirected,458,1,,1
terrorist,activism,Undirected,459,3,,3
terrorist,acts,Undirected,460,1,,1
terrorist,people,Undirected,461,2,,2
terrorist,counterterrorism,Undirected,462,1,,1
terrorist,reference,Undirected,463,2,,2
terrorist,iraq,Undirected,464,1,,1
terrorist,aero,Undirected,465,1,,1
terrorist,islam,Undirected,466,1,,1
terrorist,afghanistan,Undirected,467,1,,1
terrorist,isotope,Undirected,468,1,,1
terrorist,earth,Undirected,469,1,,1
terrorist,it_project,Undirected,470,1,,1
terrorist,research,Undirected,471,2,,2
terrorist,resources,Undirected,472,2,,2
terrorist,al-qaeda,Undirected,473,1,,1
terrorist,economic,Undirected,474,1,,1
terrorists,liberation,Undirected,475,1,,1
terrorists,cad,Undirected,476,1,,1
terrorists,wiki,Undirected,477,1,,1
terrorists,singularity,Undirected,478,1,,1
terrorists,wikipedia,Undirected,479,2,,2
terrorists,list,Undirected,480,1,,1
terrorists,guerilla,Undirected,481,1,,1
terrorists,guerrilla,Undirected,482,1,,1
terrorists,autonomous,Undirected,483,1,,1
terrorists,with,Undirected,484,1,,1
terrorists,activism,Undirected,485,1,,1
terrorists,acts,Undirected,486,1,,1
terrorists,counterterrorism,Undirected,487,1,,1
terrorists,reference,Undirected,488,1,,1
terrorists,isotope,Undirected,489,1,,1
terrorists,earth,Undirected,490,1,,1
terrorists,resources,Undirected,491,1,,1
terrorists,economic,Undirected,492,1,,1
@wikipedia,singularity,Undirected,493,1,,1
liberation,palestine,Undirected,494,1,,1
liberation,wiki,Undirected,495,1,,1
liberation,singularity,Undirected,496,1,,1
liberation,wikipedia,Undirected,497,2,,2
liberation,guerilla,Undirected,498,1,,1
liberation,guerrilla,Undirected,499,1,,1
liberation,autonomous,Undirected,500,1,,1
liberation,activism,Undirected,501,1,,1
liberation,counterterrorism,Undirected,502,1,,1
liberation,reference,Undirected,503,1,,1
liberation,isotope,Undirected,504,1,,1
liberation,israel,Undirected,505,1,,1
liberation,israel_palestine,Undirected,506,1,,1
liberation,earth,Undirected,507,1,,1
liberation,economic,Undirected,508,1,,1
library,counterterrorism,Undirected,509,1,,1
weekly,autonomous,Undirected,510,1,,1
buy,singularity,Undirected,511,1,,1
weird,autonomous,Undirected,512,1,,1
buzz,guerilla,Undirected,513,1,,1
life,singularity,Undirected,514,2,,2
sic,singularity,Undirected,515,1,,1
consciousness,singularity,Undirected,516,3,,3
_tobuy,singularity,Undirected,517,1,,1
_todo,singularity,Undirected,518,1,,1
_toread,singularity,Undirected,519,1,,1
theology,singularity,Undirected,520,1,,1
conspiracy,singularity,Undirected,521,1,,1
conspiracy,counterterrorism,Undirected,522,1,,1
innovation,singularity,Undirected,523,1,,1
theory,singularity,Undirected,524,2,,2
theory,isotope,Undirected,525,1,,1
famous,singularity,Undirected,526,1,,1
a-lire,singularity,Undirected,527,1,,1
constitution,counterterrorism,Undirected,528,1,,1
wiki,singularity,Undirected,529,9,,9
wiki,guerilla,Undirected,530,4,,4
wiki,guerrilla,Undirected,531,2,,2
wiki,autonomous,Undirected,532,1,,1
wiki,counterterrorism,Undirected,533,2,,2
wiki,isotope,Undirected,534,2,,2
wiki.article,singularity,Undirected,535,1,,1
radioactive,isotope,Undirected,536,1,,1
radioactivity,isotope,Undirected,537,1,,1
simulacra,singularity,Undirected,538,1,,1
contact,singularity,Undirected,539,1,,1
simulation,singularity,Undirected,540,2,,2
simulated,singularity,Undirected,541,1,,1
links,singularity,Undirected,542,1,,1
dns,autonomous,Undirected,543,1,,1
doc,autonomous,Undirected,544,1,,1
thinkers,singularity,Undirected,545,1,,1
green,guerilla,Undirected,546,1,,1
green,guerrilla,Undirected,547,1,,1
thinks,isotope,Undirected,548,1,,1
singularity,wikipedia,Undirected,549,13,,13
singularity,random,Undirected,550,1,,1
singularity,favorite,Undirected,551,1,,1
singularity,intelligence,Undirected,552,1,,1
singularity,literature,Undirected,553,2,,2
singularity,academic,Undirected,554,1,,1
singularity,time,Undirected,555,1,,1
singularity,cool,Undirected,556,3,,3
singularity,interesting,Undirected,557,3,,3
singularity,livrosquequeroler,Undirected,558,1,,1
singularity,groupthink,Undirected,559,1,,1
singularity,doomsday,Undirected,560,1,,1
singularity,author,Undirected,561,1,,1
singularity,read,Undirected,562,3,,3
singularity,multiversal,Undirected,563,1,,1
singularity,authors,Undirected,564,1,,1
singularity,guerilla,Undirected,565,1,,1
singularity,guerrilla,Undirected,566,1,,1
singularity,fiction,Undirected,567,1,,1
singularity,autonomous,Undirected,568,1,,1
singularity,readme,Undirected,569,1,,1
singularity,to-read,Undirected,570,1,,1
singularity,activism,Undirected,571,1,,1
singularity,reality,Undirected,572,1,,1
singularity,reason,Undirected,573,1,,1
singularity,to_read,Undirected,574,1,,1
singularity,cosmology,Undirected,575,1,,1
singularity,people,Undirected,576,4,,4
singularity,social,Undirected,577,1,,1
singularity,tobuy,Undirected,578,1,,1
singularity,inventor,Undirected,579,1,,1
singularity,counterterrorism,Undirected,580,1,,1
singularity,todo,Undirected,581,1,,1
singularity,additional,Undirected,582,1,,1
